Dis Mag Value,Latitude,Longitude,Affected
5,31.56,113.21,Extreme
5,43.469,119.558,Extreme
5,36.623,5.328,Extreme
6,-7.961,110.446,Extreme
6,-8.261,118.753,High
8,-9.284,107.419,Extreme
6,28.12,56.865,Extreme
6,33.5,48.78,Extreme
5,30.79,56.7,Medium
6,42.156,76.163,Extreme
7,37.336,136.588,Extreme
6,-45.243,-72.648,Extreme
6,-0.488,100.53,Extreme
8,-19.987,-69.197,Extreme
8,-5.678,-76.398,Extreme
6,-6.319,146.846,High
6,39.22,41.08,Extreme
7,-6.224,29.83,Extreme
7,-6.224,29.83,Extreme
7,19.878,-155.935,Extreme
7,-21.324,33.583,Extreme
8,60.949,167.089,Extreme
4,14.028,-89.785,Extreme
6,37.255,68.828,Extreme
7,21.799,120.547,Low
8,-8.466,157.043,Extreme
7,14.944,-61.274,Low
5,-15.048,-44.231,Very High
8,-22.247,-69.89,Extreme
6,23.028,101.052,Extreme
6,32.756,105.494,Extreme
6,25.039,97.697,High
5,34.185,70.076,Extreme
7,37.535,138.446,Extreme
8,-13.386,-76.603,Extreme
8,-4.438,101.367,Extreme
7,2.966,-77.963,High
5,51.085,1.009,Extreme
5,14.828,-87.12,Extreme
5,-7.783,114.338,Extreme
7,-8.292,118.37,Extreme
5,34.807,136.239,Very High
7,14.944,-61.274,Very High
7,14.944,-61.274,Medium
6,4.33,-73.764,Extreme
6,37.963,21.525,Extreme
7,39.03,140.881,Extreme
7,39.802,141.464,Extreme
6,30.639,67.351,Extreme
6,26.241,101.889,Extreme
6,29.807,90.35,Extreme
5,23.97,97.569,Extreme
6,32.56,105.423,Extreme
7,2.768,95.964,Low
5,-3.935,103.058,Extreme
7,1.271,122.091,Extreme
5,33.86,48.59,High
6,26.743,55.828,Extreme
6,40.288,72.985,Extreme
7,39.533,73.824,Extreme
6,10.165,-84.197,Extreme
7,16.731,-86.217,Extreme
6,42.334,13.334,Extreme
5,43.236,80.893,Extreme
6,25.632,101.095,Extreme
8,-0.414,132.885,Extreme
7,3.886,126.387,Extreme
6,47.116,141.798,Extreme
5,38.936,70.485,Extreme
6,43.372,46.254,Extreme
6,-2.296,28.9,Extreme
6,41.1444,-114.8721,Extreme
6,-2.296,28.9,Extreme
8,-15.489,-172.095,Extreme
6,41.483,20.388,High
8,-15.489,-172.095,Low
6,42.66,43.443,Extreme
6,35.633,67.658,Extreme
4,25.558,105.804,Low
9,-36.122,-72.898,Extreme
5,30.268,105.668,Extreme
5,25.523,101.903,Extreme
7,33.165,96.548,Extreme
5,27.197,103.005,Extreme
5,43.015,88.247,Very High
7,27.73,88.155,Extreme
5,24.693,97.943,Extreme
6,24.727,97.957,Extreme
7,20.687,99.822,Extreme
7,27.73,88.155,Extreme
6,43.648,82.437,Extreme
5,37.699,-1.672,Extreme
6,14.186,-90.238,Extreme
6,34.743,138.264,Extreme
7,-8.207,118.631,Extreme
7,-7.782,107.297,Extreme
8,-15.489,-172.095,Extreme
8,-0.72,99.867,Extreme
5,27.334,56.202,Very High
6,-9.948,33.878,Extreme
6,-10.108,33.818,Extreme
6,6.513,124.715,Extreme
7,-8.783,157.354,Extreme
7,-2.174,136.543,Extreme
8,-3.487,100.082,Extreme
5,32.45,48.3,Extreme
6,35.221,59.317,Very High
6,27.022,53.861,Low
5,33.37,48.94,High
7,28.412,59.18,Low
6,35.49,54.47,Extreme
7,32.2861667,-115.2953333,Extreme
7,-43.522,171.83,Extreme
5,38.245,71.467,Extreme
6,38.864,39.986,Extreme
6,22.918,120.795,Medium
7,40.652,-124.6925,Extreme
7,27.73,88.155,Extreme
6,-43.564,172.743,Extreme
9,38.297,142.373,Medium
7,2.965,97.893,Medium
7,38.276,141.588,High
6,40.081,71.41,High
7,20.687,99.822,Extreme
7,27.73,88.155,Extreme
6,-43.583,172.68,Extreme
7,28.777,63.951,Extreme
7,20.687,99.822,Low
6,40.081,71.41,Low
6,39.149,29.103,Extreme
7,38.721,43.508,Extreme
8,-15.489,-172.095,Extreme
6,43.76,20.73,Extreme
6,40.081,71.41,Extreme
6,39.955,77.028,Extreme
6,36.023,69.351,Very High
6,41.549,46.789,Extreme
5,41.439,46.789,Extreme
6,42.645,22.968,Very High
7,-35.2,-72.217,Extreme
6,27.767,100.781,Extreme
6,43.433,84.7,Extreme
6,27.575,103.983,Extreme
5,32.978,119.593,Extreme
5,38.745,88.098,Extreme
6,39.383,81.307,Extreme
8,10.085,-85.315,Extreme
7,13.988,-91.895,Extreme
9,2.327,93.063,High
6,-1.315,120.096,Extreme
6,38.329,46.826,Extreme
6,33.506,59.571,Extreme
5,36.288,58.835,Very High
6,44.89,11.23,Extreme
6,44.851,11.086,Extreme
6,34.512,104.262,Extreme
6,28.2425,99.3502,Extreme
6,4.645,96.665,Extreme
6,34.526,70.22,Extreme
5,25.98,99.812,Extreme
7,30.308,102.888,Extreme
5,44.5993,124.1681,Extreme
5,31.066,110.412,Extreme
5,25.953,99.782,Extreme
5,40.253,78.944,Extreme
7,1.135,-77.393,Extreme
6,14.6056,-92.1207,Extreme
4,47.624,20.227,Extreme
6,4.927,95.907,Extreme
5,5.1033,95.9709,Extreme
6,33.061,75.863,Extreme
6,28.428,51.593,Extreme
8,28.033,61.996,Low
6,29.32,51.31,Extreme
6,34.369,134.828,Extreme
8,-19.61,-70.769,Extreme
7,35.9053,82.5864,Extreme
5,28.174,103.619,Extreme
6,38.2082,20.4528,Extreme
5,27.1502,54.4482,Extreme
7,17.986,-99.789,High
7,-14.438,-75.966,Extreme
5,7.904,125.195,Low
6,38.429,43.229,High
7,23.005,95.885,Extreme
7,9.999,123.206,Extreme
7,16.493,-98.231,Extreme
6,-14.168,-75.635,Extreme
6,7.905,125.044,Extreme
8,10.811,126.638,Extreme
6,38.612,70.354,Extreme
8,-10.799,165.114,Extreme
7,-41.704,174.337,Extreme
8,28.033,61.996,Extreme
8,26.951,65.5009,Extreme
7,27.1825,65.5052,Low
7,-15.8385,-74.5112,Extreme
7,9.8796,124.1167,Extreme
6,23.789,121.141,Extreme
6,23.828,121.215,Medium
7,17.397,-100.9723,Extreme
7,11.642,-85.8779,Extreme
6,19.6557,99.6696,Extreme
8,36.5244,70.3676,Extreme
6,36.4935,71.1263,Extreme
8,28.2305,84.7314,High
7,24.804,93.65,Medium
6,27.1891,103.4086,Extreme
5,-12.228,44.3,Extreme
5,-0.018,-78.322,Low
6,24.974,97.844,Extreme
6,24.9997,97.845,Extreme
6,23.3834,100.4702,Extreme
6,30.3398,101.7374,Extreme
6,23.3577,100.533,Extreme
6,36.8561,3.181,Extreme
7,40.2893,25.3889,Extreme
7,14.724,-92.4614,Extreme
6,32.5827,47.7037,Extreme
6,36.6408,137.8875,Extreme
7,14.724,-92.4614,Extreme
6,6.7757,-72.9875,Extreme
6,5.987,116.541,Low
8,28.2305,84.7314,Extreme
7,27.8087,86.0655,Extreme
8,-31.5729,-71.6744,Extreme
5,44.133,85.568,Extreme
5,23.566,98.854,Extreme
8,28.2305,84.7314,Extreme
7,27.8087,86.0655,Extreme
6,37.4593,78.1542,Extreme
7,-0.621,131.262,Extreme
8,28.2305,84.7314,Extreme
7,27.8087,86.0655,Extreme
8,36.5244,70.3676,Low
6,40.376,73.204,Extreme
8,36.5244,70.3676,Extreme
6,36.4935,71.1263,Medium
8,-42.725,173.064,Low
8,0.382,-79.92,Extreme
7,39.238,74.047,Extreme
7,0.495,-79.62,High
6,-3.863,127.229,Extreme
6,-8.218,117.816,Extreme
7,5.281,96.108,Extreme
7,24.804,93.65,Extreme
6,42.723,13.187,Extreme
6,42.934,13.043,Extreme
7,42.855,13.088,Extreme
7,32.788,130.7,Extreme
7,32.791,130.75,Extreme
6,35.37,133.812,Extreme
5,35.781,129.216,Extreme
5,42.009,21.49,Medium
7,20.923,94.569,Extreme
7,36.473,71.13,High
7,40.7,48.6,Extreme
8,39.88,76.2,Extreme
7,42.1,19600,Extreme
5,29.3,104.8,Extreme
8,43.5,85.5,Extreme
7,24.4,103,Extreme
7,10,-84,Extreme
7,24.15,102.45,High
7,29.5,91.5,High
6,40.2,20,High
6,-32.7,-68.4,High
5,1,-77.5,High
7,36.983,164,High
6,27,100,Extreme
6,40.5,19.5,Extreme
5,40.3,19.6,Extreme
6,26.8,103,Extreme
6,30,100,Extreme
6,40.6,20.8,Extreme
6,39.2,46,Extreme
8,46.817,89.915,Extreme
5,29.5,102.5,High
6,28.7,103.6,High
7,35.4,103.4,Extreme
6,34.2,105.7,Extreme
6,26.6,103,Extreme
7,1.1,-77.6,Extreme
7,1.2,-77.3,Extreme
7,35.259,115.184,Extreme
6,23.9,102.3,Extreme
6,40.2,122,Extreme
6,47,127.2,Extreme
6,31.7,102.3,Extreme
6,41.7,20.4,High
7,23.1,100.3,High
6,39.5,119,Low
7,29.5,100.5,Extreme
7,26.4,99.7,Extreme
7,42,84,Extreme
6,26.7,100,Extreme
7,30.648,91.601,Extreme
6,22.9,99.7,Very High
6,10.3,-83.5,Very High
6,10,-84.5,Very High
6,38.2151667,-122.3123333,Extreme
5,-13.843,-71.695,Extreme
7,40.2893,25.3889,Extreme
5,-26.9899,26.7048,Extreme
7,38.2107,72.7797,Extreme
6,-2.091,28.952,Extreme
7,-8.3381,124.8754,Extreme
6,22.938,120.6,Extreme
8,-10.676,161.33,Extreme
5,-15.64,-71.68,Extreme
6,-15.321,-70.823,Very High
5,38.883,70.626,High
6,1.036,31.618,Extreme
6,-1.036,31.618,Extreme
5,35.991,-96.803,High
6,43.823,86.345,Extreme
5,26.077,99.539,Extreme
7,33.193,103.855,Extreme
5,33.193,103.855,Extreme
5,33.193,103.855,Extreme
6,29.833,94.978,Extreme
5,45.279,124.557,Extreme
5,24.332,102.941,Extreme
5,40.501,20.722,Extreme
6,41.381,19.454,Extreme
7,-30.074,-71.423,Extreme
5,29.498,104.632,Extreme
6,28.405,104.957,Extreme
5,29.573,105.064,Extreme
5,29.573,105.064,Extreme
8,-5.812,-75.27,Low
8,-2.199,-77.023,Very High
7,35.2,58.2,Very High
6,32.2,35.3,Very High
6,37.75,27,Extreme
8,34,132,High
7,35.4,136.3,Extreme
7,30,68,Extreme
7,38.9,-8.8,Extreme
7,32.23,57.03,Extreme
8,28,130,Extreme
8,43.5,77.5,Extreme
8,17.5,-102.5,Low
8,5.354,126.121,Low
6,38.8,20.6,Low
5,37.7,15.2,Extreme
5,-15.2,-73.2,Extreme
8,19.26,-96.97,High
8,32.7,130.3,High
6,36.617,57.046,High
7,29.196,56.833,High
7,-7.3,109.8,High
7,9.782,123.064,High
6,34.6,58.1,High
7,35.423,135.007,Extreme
6,43.667,13.267,Extreme
6,17.4,95.5,Extreme
6,12.1,-86.2,Extreme
7,40.5,23.9,Extreme
7,-3.57,128.35,Extreme
8,19.5,-104.25,High
7,19,-104.5,Extreme
5,36.6,53.4,Extreme
5,42,14.2,Extreme
6,36.3,53.3,Extreme
6,36.3,53.5,Extreme
8,4.5,126.5,Extreme
6,33,60,Extreme
6,13.2,-88.7,Extreme
8,14.575,121.68,High
8,18.8,-97.5,High
7,39.945,139.682,Extreme
7,-12.5,-72,Extreme
6,33.482,58.785,Extreme
8,-14.819,-74.708,Low
5,36.8,54.5,Low
5,35.2,52.1,Low
8,36.728,21.897,Extreme
7,38.532,20.425,Extreme
7,-6,113,Low
7,27.3,53.2,Low
7,-9.3,147.1,Low
7,41.831,143.525,Extreme
7,28.5,52.3,Extreme
7,39.8,22.1,Extreme
7,39.4,23.1,Extreme
7,30.5,67,Extreme
7,30.5,67,Very High
8,15.022,-93.899,Extreme
7,18.55,-98.489,Extreme
6,38.915,26.371,Extreme
6,13.77,120.935,Extreme
7,36.925,27.414,High
5,42.601,27.414,Low
8,42.601,27.414,Extreme
7,-7.492,27.414,Extreme
6,37.772,57.204,Extreme
7,34.911,45.959,Extreme
5,35.649,50.962,High
7,34.911,45.959,Extreme
4,34.911,45.959,Extreme
6,34.911,45.959,Extreme
5,36.065,129.27,Extreme
7,9.907,125.452,Extreme
7,11.111,124.619,Extreme
8,-178,119.84,Extreme
7,-178,119.84,Extreme
8,-6.149,142.766,Extreme
7,-8.287,116.452,Extreme
6,20.034,-73.013,Extreme
6,-7.196,105.918,Extreme
6,-8.274,116.491,Extreme
7,-8.325,116.577,Extreme
6,34.645,46.179,Extreme
6,34.663,46.277,Extreme
6,34.304,45.74,Extreme
6,34.826,135.64,Extreme
7,16.646,-97.653,Extreme
7,-15.759,74.71,Extreme
7,-6.307,142.62,Extreme
7,-6.294,142.607,Extreme
6,13.095,-88.099,Extreme
6,38.637,139.48,Extreme
7,13.243,-89.272,High
7,-0.586,128.034,Extreme
5,-1.301,101.601,Extreme
6,-8.418,116.52,Extreme
7,-7.282,104.791,Extreme
7,-3.45,128.347,Extreme
6,31.775,49.542,Extreme
6,33.106,73.766,Extreme
8,-5.812,-75.27,Extreme
6,14.99,120.35,Extreme
6,9.32,125.99,Extreme
6,20.807,121.986,Extreme
6,6.714,125.009,Extreme
7,6.754,124.985,Extreme
8,-4.051,152.6,Extreme
6,40.3,43.1,Extreme
6,39.1,42.4,Extreme
6,40.9,42.7,Extreme
6,23.5,120.5,Very High
6,23.5,120.3,Extreme
7,23.4,120.4,Extreme
7,25,121.5,Extreme
8,25.5,122.5,Extreme
7,38.2,72.8,Extreme
7,37.82,30.27,Extreme
7,23.7,120.9,Extreme
6,24,121,Extreme
6,23.9,120.9,Extreme
8,24.5,122,Extreme
5,39.7,42.8,Extreme
7,39.897,41.891,Extreme
6,41.2,42.8,Extreme
6,38,30.5,Extreme
6,34.3,-119.8,Extreme
6,38.4,68.5,Extreme
6,23.261,120.277,Extreme
6,23.2,120.6,Extreme
6,37.919,40.211,Extreme
6,37.919,40.211,Extreme
6,39.3,40.6,Extreme
7,22.3,120.8,Medium
6,41.7,43.8,Medium
6,39.5,43.3,Medium
6,39.7,39.4,Medium
7,23.304,120.393,Extreme
6,39.2,28.2,Extreme
6,40.3,34.6,Extreme
7,40.8,30.5,Extreme
6,40.6,30.5,Extreme
6,40,40,Extreme
6,44.3,17,Extreme
6,38.9,29.3,Extreme
6,37.4,35.8,Extreme
6,38.5,43.3,Extreme
6,38.2,31.8,Extreme
7,26.19,121.086,Extreme
7,40,40,Extreme
7,23.8,121.7,Extreme
8,22.9,121.5,Very High
8,39.8,39.5,Very High
8,41.4,26.3,Very High
8,1.5,-79.5,Low
7,22.078,121.105,Medium
6,27.861,54.528,Medium
7,36,136.7,Medium
7,24.411,122.094,Low
6,37.7,21.8,High
5,37.6,47.1,High
6,28.7,78.9,High
6,39.1,41.6,High
5,38.9,41.3,Low
7,5.121,96.286,Extreme
6,30.2,104.1,Extreme
7,6.747,-73.032,Extreme
5,35.5,-0.1,Very High
6,39.5,40.4,Very High
7,34,58.2,Very High
7,16.519,-97.739,Very High
7,27.575,33.895,Extreme
8,36.033,-10.613,Medium
8,36.033,-10.613,Medium
5,-9.9,-75.6,Medium
6,39.1,28.7,Extreme
5,-7.2,109.1,Extreme
6,36.278,69.681,Low
4,43.8,13.3,Low
8,43.233,145.785,Low
7,31.398,100.581,Extreme
6,34.1,-119,Extreme
7,19.936,-155.098,Low
7,7.747,-77.688,Low
6,-12.299,-76.352,Low
6,42.06,-122.55,Extreme
6,46.302,13.197,Extreme
8,-9.965,160.731,Low
6,41.145,108.129,Extreme
5,39.672,28.66,Extreme
4,17.25,-93.21,High
7,17.25,-93.21,Extreme
6,24.136,121.658,Very High
6,40.89,28.173,Extreme
7,35.77,-117.599,High
6,41.511,19.522,Extreme
5,41.511,19.522,Extreme
6,37.808,47.558,Extreme
7,6.905,125.187,Extreme
7,6.708,125.188,Extreme
5,17.937,-66.727,High
7,37.913,26.779,Extreme
6,17.935,-66.883,Extreme
7,37.913,26.779,Extreme
5,27.296,103.281,Extreme
5,45.897,15.966,Extreme
6,2.911,128.248,Extreme
6,38.543,44.447,Extreme
7,15.916,-95.953,Extreme
7,12.021,124.123,Extreme
7,38.39,44.367,Extreme
6,38.543,44.447,Extreme
6,39.421,40.697,Extreme
5,38.558,44.023,Very High
5,20.92276678,88.83273979,Medium
8,36.033,-10.613,Medium
6,40.9035933,22.49758107,Medium
7,36.14412533,136.7775861,Medium
5,30.80371247,56.67793396,Medium
7,18.11857181,-100.751768,Medium
5,17.97384494,85.90887758,Medium
7,34.43840128,117.5258738,Medium
6,32.66487735,116.0417948,Medium
6,6.517168721,91.10813335,Medium
7,25.61502823,119.2645599,Medium
7,49.40450846,-15.33967721,Medium
6,2.953109931,136.7000752,Medium
6,40.27265521,123.7324505,Medium
5,30.08233138,56.17522832,Medium
5,-0.930058529,-70.42758889,Medium
5,9.515377893,-65.05395596,Medium
7,2.926098569,97.39417882,Medium
6,-0.322913706,-84.12505787,Medium
6,23.7940094,121.2128634,Medium
6,39.71259961,43.34831809,Medium
6,30.24527179,51.49299502,Medium
6,31.10924544,52.11953726,Medium
6,42.138189,21.69771677,Medium
5,29.73153041,53.88634665,Medium
8,36.033,-10.613,Medium
5,32.97422333,53.10570844,Medium
7,36.01984113,-10.64603165,Medium
5,35.0015585,50.96239041,Medium
5,32.74597083,53.48131382,Medium
6,38.21729509,45.79032466,Medium
6,3.324458438,137.0000353,Medium
6,16.67776225,125.092843,Medium
7,19.52380474,-102.1858216,Medium
6,42.25892682,21.58520161,Medium
7,38.65720727,1.772060503,Medium
6,4.191321181,92.28388396,Medium
6,1.265855213,103.3504032,Medium
6,39.51097652,43.0859578,Medium
7,37.04546504,139.2820301,Medium
6,33.92675466,51.58785004,Medium
5,42.09644152,20.51676873,Medium
7,38.90104672,138.261702,Medium
6,9.374188751,121.2417778,Medium
7,2.885944516,96.87929563,Medium
6,-0.52928811,118.9107964,Medium
6,28.35309203,53.96702198,Medium
6,38.9102031,24.12387344,Medium
5,32.16861677,51.43237143,Medium
5,41.34857436,22.0914697,Medium
6,30.31041838,51.73569739,Medium
6,15.53492308,-61.62131806,Medium
7,14.53076116,94.2271664,Medium
6,30.99555878,427.5493242,Medium
7,4.963043868,95.07930259,Medium
7,36.81608139,141.119915,Medium
7,38.76590961,3.07886436,Medium
8,36.033,-10.613,Medium
6,27.66279338,118.9700698,Medium
6,22.46603199,120.9617977,Medium
5,34.4671373,50.64901458,Medium
6,23.82758433,121.2149739,Medium
6,2.810130121,94.48901569,Medium
6,40.93207222,42.11055888,Medium
7,33.47435333,52.37124673,Medium
5,-6.683325526,-71.04897951,Medium
6,24.91979817,93.74619178,Medium
6,22.12225442,121.088668,Medium
5,30.65010141,56.32811768,Medium
6,24.24789217,959.7342179,Medium
6,34.81065125,139.5306578,Medium
6,0.08886002,105.8177214,Medium
6,36.8116951,139.7298058,Medium
7,39.16509022,6.14278652,Medium
5,29.35488495,52.88513721,Medium
5,4.610732171,78.8578407,Medium
6,35.73738556,138.2584974,Medium
6,2.741446959,92.97938448,Medium
6,2.389553728,118.5525098,Medium
6,2.499686328,88.35334337,Medium
7,35.56102975,137.3058859,Medium
7,22.11067356,121.0601107,Medium
7,16.31173289,385.6616348,Medium
6,34.04978671,51.3748027,Medium
6,7.567662369,131.8202595,Medium
8,40.26788416,139.3952808,Medium
7,37.29279722,-11.05832409,Medium
6,14.4169777,122.5689405,Medium
6,32.63345398,50.7661459,Medium
6,35.33452195,139.8116884,Medium
5,21.9892686,89.93241218,Medium
7,38.91971696,122.8323764,Medium
5,9.054482755,-65.30430496,Medium
6,17.67407698,122.1402072,Medium
6,2.603692894,118.6248656,Medium
5,41.02842333,22.38304097,Medium
6,23.62914983,92.09830356,Medium
7,11.92479288,143.9470316,Medium
6,29.19541044,52.521933,Medium
6,40.82008563,20.60114291,Medium
7,23.56399432,93.71966543,Medium
7,26.46927989,118.9898769,Medium
7,5.275723378,95.23625459,Medium
6,-2.195766567,113.9473361,Medium
8,35.99221402,286.1908659,Medium
5,-20.32156465,30.12707692,Medium
6,35.47581995,139.8107704,Medium
7,22.21473188,120.9171476,Medium
6,39.58081026,43.31836597,Medium
5,32.24097037,49.69016595,Medium
6,33.91108559,117.6986152,Medium
6,28.71041903,58.89990819,Medium
7,22.1601893,120.9920823,Medium
6,41.26735195,42.8481743,Medium
6,34.19457216,30.84256384,Medium
6,15.24000356,-61.4479776,Medium
6,31.20011801,52.5,Medium
6,34.44366976,138.8417512,Medium
6,-0.762571583,127.8690882,Medium
6,37.28649395,139.1167556,Medium
5,26.78871552,55.86108528,Medium
5,35.01551157,49.84230952,Medium
5,6.087566982,78.45173616,Medium
7,22.41988309,-105.1412973,Medium
7,38.1192851,24.82469137,Medium
6,25.23796304,961.8485666,Medium
6,34.6195129,138.8686162,Medium
6,-2.90258298,121.6262309,Medium
6,33.9045476,51.62630469,Medium
6,41.43003503,21.03389572,Medium
6,27.29012172,758.8887835,Medium
6,28.04881525,54.10068079,Medium
7,22.29014838,120.8135349,Medium
5,33.95419459,51.49309751,Medium
6,36.45476564,70.4225886,Medium
6,38.33704063,122.4598885,Medium
6,33.08736223,115.9920605,Medium
6,23.42340494,121.1051133,Medium
6,29.41962453,53.95733913,Medium
6,22.70577476,120.8733212,Medium
5,2.148260128,79.61715705,Medium
5,16.06831299,91.68669424,Medium
6,36.44015515,70.15715073,Medium
7,17.54492471,121.8582812,Medium
5,-8.931117937,-75.07372269,Medium
7,60.90820633,-19.40610448,Medium
7,39.80344925,139.1050601,Medium
6,34.09073369,118.0708025,Medium
6,22.39399802,120.8255296,Medium
5,22.63834854,49.48940309,Medium
6,23.94300232,141.874832,Medium
5,32.36090808,49.7378771,Medium
7,51.991652,-16.25420323,Medium
6,27.04459698,141.0468249,Medium
6,23.46134133,91.87666862,Medium
6,31.34296428,139.8993254,Medium
6,-2.074189605,119.1004324,Medium
5,28.69661859,56.26109882,Medium
6,31.42086732,139.8785282,Medium
7,37.70302951,25.10904791,Medium
6,29.86925736,52.5,Medium
7,21.3010221,94.33057765,Medium
5,32.735091,51.22795696,Medium
6,35.75511239,66.68038787,Medium
6,35.4764462,52.64884607,Medium
6,29.06722981,52.71463154,Medium
7,32.13877119,52.5,Medium
5,34.29428864,50.95141314,Medium
5,-6.872396219,-73.95546632,Medium
7,6.461142986,94.68052999,Medium
6,37.12599832,139.1175014,Medium
6,22.17957996,121.0675122,Medium
6,39.71029034,39.42263875,Medium
7,35.20170039,139.3941328,Medium
6,28.28887032,55.09027671,Medium
7,36.40308372,135.5955597,Medium
7,22.09024842,121.0991004,Medium
6,15.64709564,-39.45541758,Medium
6,25.37476156,119.5886437,Medium
6,22.7007018,120.8751934,Medium
6,39.85364981,44.92982726,Medium
6,29.699851,35.51483491,Medium
6,30.0147076,117.5932333,Medium
8,39.50906294,140.5417493,Medium
7,40.42044466,126.2826201,Medium
5,29.27719143,56.38282251,Medium
6,27.91125205,54.50960116,Medium
6,27.01756163,95.488772,Medium
6,22.18589692,121.0651809,Medium
6,36.18690533,107.8425208,Medium
6,36.78703441,103.6041245,Medium
6,18.79182948,121.6560236,Medium
6,27.16346402,55.32112801,Medium
7,36.00237082,140.1646854,Medium
5,29.49360577,53.25388876,Medium
8,36.76182677,-5.62878961,Medium
7,41.93225458,-12.69831986,Medium
7,34.29912322,117.3609492,Medium
6,35.57603024,139.2160678,Medium
6,22.87373023,120.8113377,Medium
6,30.58024018,36.21420949,Medium
7,13.28268387,127.8285518,Medium
5,32.13348306,55.11463171,Medium
7,38.67005899,24.31985507,Medium
7,21.57374447,121.2024222,Medium
5,3.603795557,80.30360103,Medium
6,35.3130408,139.7833555,Medium
7,40.40051599,139.1022857,Medium
6,40.67502007,13.21634678,Medium
6,22.98142429,120.9850727,Medium
7,37.80634011,121.513983,Medium
6,35.28111926,112.2902664,Medium
6,2.644683763,90.85256418,Medium
6,2.721640694,136.5131039,Medium
7,41.01867884,-12.37538116,Medium
5,32.53488513,51.30020204,Medium
6,24.43832941,120.3089091,Medium
7,2.859603734,96.54153582,Medium
6,34.09888096,118.0876816,Medium
7,39.47006617,139.1066092,Medium
7,22.93330867,142.1443815,Medium
6,3.884291701,95.73288758,Medium
7,21.18830235,121.2768897,Medium
5,41.06168136,22.35275187,Medium
7,13.1875394,133.1990915,Medium
7,39.12646551,123.0771955,Medium
7,55.92003509,-15.56770076,Medium
7,32.65764576,-18.72143669,Medium
5,2.287660991,83.2986471,Medium
6,2.772905175,93.67082476,Medium
6,42.01218155,22.21434755,Medium
7,2.946395659,97.65444222,Medium
6,15.57838831,-63.25363269,Medium
5,-9.099318117,-75.16508565,Medium
6,16.68270913,125.08919,Medium
7,34.12496241,-15.19657875,Medium
6,27.12147082,55.37901519,Medium
6,22.57931243,120.8656752,Medium
5,15.43412139,32.87811366,Medium
6,4.823312673,-88.70597908,Medium
6,39.73470246,46.12716185,Medium
6,34.79160134,138.3512744,Medium
7,35.59269671,137.2621777,Medium
7,38.02250117,24.82165393,Medium
5,34.68272215,50.72424063,Medium
7,39.87356399,138.785231,Medium
6,32.49919571,50.46246649,Medium
5,42.24929437,21.47649399,Medium
5,2.161328797,-69.048528,Medium
6,28.02340668,118.7589628,Medium
6,36.54827641,106.0680548,Medium
7,37.75278318,25.04706652,Medium
6,12.37265486,122.4007361,Medium
6,11.1265197,-63.47530505,Medium
6,30.81067765,50.94302686,Medium
6,40.10582928,24.69042711,Medium
5,15.22211065,-61.95417313,Medium
7,7.402732237,97.03081318,Medium
6,34.74432482,138.4158777,Medium
5,34.29466855,50.50712587,Medium
8,36.06441661,-10.39815199,Medium
7,34.38576659,117.463547,Medium
6,23.00608466,120.9917704,Medium
6,34.52314314,138.7415078,Medium
6,17.58296627,-36.71650602,Medium
6,27.43414211,55.05028242,Medium
6,40.87100411,20.53552538,Medium
7,37.1463706,120.7324871,Medium
5,30.43364657,55.7527314,Medium
6,33.92518272,117.727821,Medium
6,15.42286681,-61.55545641,Medium
6,22.64836956,121.1408518,Medium
7,2.907227215,97.1521972,Medium
6,27.39006078,55.10421818,Medium
6,26.81211997,55.80545203,Medium
5,39.6278258,26.31527943,Medium
6,32.48285261,63.41475311,Medium
5,30.90134308,51.88967216,Medium
6,34.11052303,50.62317241,Medium
7,35.51804078,-11.90566047,Medium
7,23.25846441,-28.68668872,Medium
7,27.13343229,140.8190208,Medium
7,42.81906348,-13.01179679,Medium
6,32.00126051,49.78495138,Medium
6,44.4206644,17.59871595,Medium
7,56.26446151,-17.76459313,Medium
6,7.599209876,94.49919988,Medium
6,39.67081559,39.96909609,Medium
5,-21.18612677,27.61246995,Medium
8,36.67716449,140.8140961,Medium
6,42.329982,21.54848906,Medium
6,40.66471276,41.52236808,Medium
7,33.82069916,52.23916652,Medium
6,-1.727359548,125.0546015,Medium
6,34.28848277,139.0433397,Medium
7,16.45175599,-96.90263523,Medium
6,39.42957996,26.55483432,Medium
7,38.38378872,137.9832498,Medium
7,35.74024333,26.99575638,Medium
6,29.65883133,34.16996483,Medium
5,42.05216954,21.00951946,Medium
6,27.11440541,119.2911021,Medium
5,34.79191895,50.80580345,Medium
7,37.60764143,-4.371511689,Medium
5,30.20168373,56.26373406,Medium
6,35.83125667,137.701415,Medium
5,33.84000942,51.68099715,Medium
7,40.17230566,125.1852111,Medium
6,39.29332171,117.7430622,Medium
6,32.29794708,49.72800454,Medium
5,-19.94140281,29.98281956,Medium
7,37.26301064,25.49092987,Medium
8,36.033,-10.613,Medium
5,31.23931195,51.76771475,Medium
6,23.66489471,92.14551401,Medium
7,37.33340572,137.4178038,Medium
7,33.4714724,52.37623547,Medium
5,31.03271437,56.41358652,Medium
6,41.74728781,20.15635813,Medium
6,41.04411646,20.31243926,Medium
5,14.29594033,82.26222741,Medium
6,23.35880259,120.9984473,Medium
6,34.82440101,138.3064537,Medium
6,33.94278474,50.54033234,Medium
6,35.19299173,39.87854483,Medium
6,40.91000615,12.40424293,Medium
7,40.43760248,131.5756247,Medium
